"gene_id","transcript_id.s.","length","effective_length","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000223345.3","ENST00000412169.1,ENST00000430394.1",388.48,148.76,-10.7633333333333,13.6383333333333,-4.48865875362563,0.00598873743491225,0.552958268703326,-4.58761149551922
"ENSG00000200959.1","ENST00000364089.1",198,4.5,4961.61,9675.295,4.04171037172274,0.00927439272901349,0.552958268703326,-4.58804071798269
"ENSG00000104388.14","ENST00000262646.11,ENST00000396696.1,ENST00000429861.5,ENST00000452437.1,ENST00000466595.5,ENST00000481569.1,ENST00000525529.5,ENST00000529579.5,ENST00000530071.5,ENST00000531098.1,ENST00000531289.5,ENST00000534260.5",2010.04,1769.27,-6.10333333333334,13.295,-3.80046890699582,0.0118884854428837,0.552958268703326,-4.58831563890778
"ENSG00000222724.1","ENST00000410792.1",194,3.65,-9.23,6.53166666666667,-3.55717076586715,0.0154107157843035,0.552958268703326,-4.5886295034008
"ENSG00000177954.11","ENST00000368567.4,ENST00000392558.4,ENST00000477151.1,ENST00000493224.5",350.97,112.3,-336.883333333334,775.565,-3.30065978262443,0.0204650349015648,0.552958268703326,-4.58900606759045
"ENSG00000033178.12","ENST00000322244.9,ENST00000420827.2,ENST00000429659.7,ENST00000505673.2,ENST00000506571.1,ENST00000514261.1",3338.86,3098.39,-3.48666666666667,9.32,-3.28753722730616,0.0207699862477818,0.552958268703326,-4.58902671173479
"ENSG00000196866.2","ENST00000341023.1",393,153.06,-27.3733333333333,45.03,-3.26143513106102,0.0213918745744554,0.552958268703326,-4.5890681951346
"ENSG00000273703.1","ENST00000621112.1",381,141.31,-63.0133333333334,89.9766666666667,-3.25060092426287,0.0216561246974146,0.552958268703326,-4.58908557926112
"ENSG00000112096.16","ENST00000337404.8,ENST00000367054.6,ENST00000367055.8,ENST00000401980.3,ENST00000444946.6,ENST00000452684.2,ENST00000535372.1,ENST00000535459.5,ENST00000535561.5,ENST00000537657.5,ENST00000538183.6,ENST00000540491.1,ENST00000541573.5,ENST00000545162.5,ENST00000546087.5,ENST00000546260.5",1968.18,1727.41,-10.3,18.12,-3.20921814852458,0.0226997410201135,0.552958268703326,-4.58915288642549
"ENSG00000196747.4","ENST00000358739.4",503,262.3,-162.526666666667,272.45,-3.1798500864274,0.0234745854631514,0.552958268703326,-4.58920153535091
"ENSG00000160877.5","ENST00000292431.4,ENST00000585663.1,ENST00000586171.1",2885.01,2644.24,-6.17000000000001,14.4483333333333,-3.17358141852804,0.023643789325039,0.552958268703326,-4.58921201571705
"ENSG00000203811.1","ENST00000369158.1",1656,1415.22,-64.2966666666667,107.445,-3.15795430031172,0.0240715745629341,0.552958268703326,-4.58923829067483
"ENSG00000203814.6","ENST00000369167.2,ENST00000420462.1,ENST00000469483.1,ENST00000545683.1,ENST00000620458.1",1212.52,971.75,-50.46,79.3033333333333,-3.1399483134293,0.0245752579533282,0.552958268703326,-4.58926882997118
"ENSG00000197903.7","ENST00000356950.1",381,141.31,-134.496666666667,244.808333333333,-3.12328519830235,0.0250519001096647,0.552958268703326,-4.58929734611682
"ENSG00000276903.1","ENST00000613174.1",393,153.06,-63.1833333333334,107.985,-3.12277290494181,0.0250667169700321,0.552958268703326,-4.58929822671889
"ENSG00000095139.13","ENST00000264028.4,ENST00000359415.8,ENST00000392859.7,ENST00000534182.2,ENST00000614498.4",3106.88,2866.1,-7.23333333333334,13.93,-3.10394738845956,0.0256180531977551,0.552958268703326,-4.58933074884578
